date,year,month,category,state,county,title,fema_number
12/29/2020,2020,12,Severe Storm,WA,Clallam County,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4593
11/12/2020,2020,11,Severe Storm,NC,Robeson County,TROPICAL STORM ETA,4588
9/7/2020,2020,9,Severe Storm,UT,Weber County,STRAIGHT-LINE WINDS,4578
11/12/2020,2020,11,Severe Storm,NC,Davie County,TROPICAL STORM ETA,4588
11/12/2020,2020,11,Severe Storm,NC,Hertford County,TROPICAL STORM ETA,4588
12/29/2020,2020,12,Severe Storm,WA,Skagit County,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4593
11/12/2020,2020,11,Severe Storm,NC,Alexander County,TROPICAL STORM ETA,4588
12/29/2020,2020,12,Severe Storm,WA,Mason County,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4593
9/7/2020,2020,9,Severe Storm,UT,Morgan County,STRAIGHT-LINE WINDS,4578
11/12/2020,2020,11,Severe Storm,NC,Yadkin County,TROPICAL STORM ETA,4588
11/12/2020,2020,11,Severe Storm,NC,Caldwell County,TROPICAL STORM ETA,4588
12/29/2020,2020,12,Severe Storm,WA,Jefferson County,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4593
1/10/2020,2020,1,Severe Storm,MS,Prentiss County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
2/3/2020,2020,2,Severe Storm,KY,Johnson County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
4/19/2020,2020,4,Severe Storm,AL,Coosa County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
5/3/2020,2020,5,Severe Storm,MO,Hickory County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
8/10/2020,2020,8,Severe Storm,IA,Muscatine County,SEVERE STORMS,4557
4/12/2020,2020,4,Severe Storm,TN,Campbell County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4541
4/22/2020,2020,4,Severe Storm,MS,Jefferson Davis County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
4/12/2020,2020,4,Severe Storm,MS,Jefferson Davis County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/6/2020,2020,2,Severe Storm,NC,Gaston County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
5/3/2020,2020,5,Severe Storm,TN,Lake County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/10/2020,2020,2,Severe Storm,MS,Yazoo County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
8/10/2020,2020,8,Severe Storm,IA,Benton County,SEVERE STORMS,4557
5/3/2020,2020,5,Severe Storm,TN,Weakley County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
5/3/2020,2020,5,Severe Storm,TN,Perry County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/3/2020,2020,2,Severe Storm,KY,Pike County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
5/3/2020,2020,5,Severe Storm,MO,Polk County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
8/10/2020,2020,8,Severe Storm,IA,Cedar County,SEVERE STORMS,4557
5/3/2020,2020,5,Severe Storm,TN,Obion County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
1/10/2020,2020,1,Severe Storm,MS,Bolivar County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/12/2020,2020,4,Severe Storm,MS,Bolivar County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/5/2020,2020,2,Severe Storm,AL,Macon County,SEVERE STORMS AND FLOODING,4546
2/6/2020,2020,2,Severe Storm,NC,Polk County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
4/22/2020,2020,4,Severe Storm,MS,Wayne County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
8/10/2020,2020,8,Severe Storm,IA,Jackson County,SEVERE STORMS,4557
5/3/2020,2020,5,Severe Storm,TN,Lewis County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
4/12/2020,2020,4,Severe Storm,SC,Marlboro County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
8/10/2020,2020,8,Severe Storm,IA,Johnson County,SEVERE STORMS,4557
4/22/2020,2020,4,Severe Storm,MS,Simpson County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
8/10/2020,2020,8,Severe Storm,IA,Guthrie County,SEVERE STORMS,4557
2/5/2020,2020,2,Severe Storm,AL,Perry County,SEVERE STORMS AND FLOODING,4546
2/6/2020,2020,2,Severe Storm,SC,Barnwell County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
4/12/2020,2020,4,Severe Storm,SC,Barnwell County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
2/3/2020,2020,2,Severe Storm,KY,Whitley County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/10/2020,2020,2,Severe Storm,MS,Grenada County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
4/12/2020,2020,4,Severe Storm,MS,Grenada County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
4/12/2020,2020,4,Severe Storm,TN,Marion County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4541
2/10/2020,2020,2,Severe Storm,MS,Copiah County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
5/3/2020,2020,5,Severe Storm,MO,Douglas County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
4/22/2020,2020,4,Severe Storm,MS,George County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
5/3/2020,2020,5,Severe Storm,TN,Henderson County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/6/2020,2020,2,Severe Storm,SC,Greenville County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
2/6/2020,2020,2,Severe Storm,SC,Pickens County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
4/12/2020,2020,4,Severe Storm,SC,Pickens County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
1/10/2020,2020,1,Severe Storm,MS,Tishomingo County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
2/6/2020,2020,2,Severe Storm,NC,Graham County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
8/10/2020,2020,8,Severe Storm,IA,Linn County,SEVERE STORMS,4557
5/3/2020,2020,5,Severe Storm,MO,Bates County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
2/3/2020,2020,2,Severe Storm,KY,Lawrence County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
4/12/2020,2020,4,Severe Storm,AL,Etowah County,SEVERE THUNDERSTORMS,4555
2/5/2020,2020,2,Severe Storm,AL,Butler County,SEVERE STORMS AND FLOODING,4546
8/10/2020,2020,8,Severe Storm,IA,Story County,SEVERE STORMS,4557
6/29/2020,2020,6,Severe Storm,ND,Grand Forks County,SEVERE STORMS AND FLOODING,4565
8/10/2020,2020,8,Severe Storm,IA,Hardin County,SEVERE STORMS,4557
2/5/2020,2020,2,Severe Storm,AL,Marion County,SEVERE STORMS AND FLOODING,4546
2/5/2020,2020,2,Severe Storm,AL,Lamar County,SEVERE STORMS AND FLOODING,4546
8/10/2020,2020,8,Severe Storm,IA,Iowa County,SEVERE STORMS,4557
2/6/2020,2020,2,Severe Storm,NC,Cherokee County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
4/12/2020,2020,4,Severe Storm,MS,Walthall County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
8/10/2020,2020,8,Severe Storm,IA,Grundy County,SEVERE STORMS,4557
4/12/2020,2020,4,Severe Storm,MS,Noxubee County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/10/2020,2020,2,Severe Storm,MS,Marion County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
2/3/2020,2020,2,Severe Storm,KY,Letcher County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/3/2020,2020,2,Severe Storm,KY,Leslie County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
4/19/2020,2020,4,Severe Storm,AL,Covington County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
2/5/2020,2020,2,Severe Storm,AL,Covington County,SEVERE STORMS AND FLOODING,4546
4/12/2020,2020,4,Severe Storm,TN,Monroe County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4541
6/29/2020,2020,6,Severe Storm,ND,Nelson County,SEVERE STORMS AND FLOODING,4565
1/10/2020,2020,1,Severe Storm,MS,Oktibbeha County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
8/10/2020,2020,8,Severe Storm,IA,Clinton County,SEVERE STORMS,4557
5/3/2020,2020,5,Severe Storm,TN,Carroll County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
4/12/2020,2020,4,Severe Storm,MS,Tate County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/10/2020,2020,2,Severe Storm,MS,Wilkinson County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
2/6/2020,2020,2,Severe Storm,NC,Ashe County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
2/6/2020,2020,2,Severe Storm,SC,Spartanburg County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
1/10/2020,2020,1,Severe Storm,MS,Washington County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
2/3/2020,2020,2,Severe Storm,KY,Boyd County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
5/3/2020,2020,5,Severe Storm,TN,Benton County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/6/2020,2020,2,Severe Storm,NC,Stokes County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
2/6/2020,2020,2,Severe Storm,NC,Swain County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
2/6/2020,2020,2,Severe Storm,NC,Perquimans County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
4/22/2020,2020,4,Severe Storm,MS,Smith County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
4/12/2020,2020,4,Severe Storm,MS,Smith County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
1/10/2020,2020,1,Severe Storm,MS,Sunflower County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/12/2020,2020,4,Severe Storm,MS,Sunflower County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/6/2020,2020,2,Severe Storm,SC,Hampton County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
4/12/2020,2020,4,Severe Storm,SC,Hampton County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
8/10/2020,2020,8,Severe Storm,IA,Jasper County,SEVERE STORMS,4557
2/10/2020,2020,2,Severe Storm,MS,Carroll County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
4/12/2020,2020,4,Severe Storm,MS,Carroll County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
8/10/2020,2020,8,Severe Storm,IA,Dallas County,SEVERE STORMS,4557
2/10/2020,2020,2,Severe Storm,MS,Sharkey County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
5/3/2020,2020,5,Severe Storm,TN,Houston County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
5/3/2020,2020,5,Severe Storm,MO,Stoddard County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
2/3/2020,2020,2,Severe Storm,KY,Morgan County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
5/3/2020,2020,5,Severe Storm,MO,Laclede County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
5/3/2020,2020,5,Severe Storm,MO,Howell County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
4/19/2020,2020,4,Severe Storm,AL,Henry County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
5/3/2020,2020,5,Severe Storm,MO,Carter County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
2/3/2020,2020,2,Severe Storm,KY,Metcalfe County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/3/2020,2020,2,Severe Storm,KY,Clay County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
5/3/2020,2020,5,Severe Storm,TN,Hardin County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/6/2020,2020,2,Severe Storm,NC,Mitchell County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
4/19/2020,2020,4,Severe Storm,AL,Barbour County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
4/12/2020,2020,4,Severe Storm,SC,Georgetown County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
2/5/2020,2020,2,Severe Storm,AL,Limestone County,SEVERE STORMS AND FLOODING,4546
2/5/2020,2020,2,Severe Storm,AL,Chambers County,SEVERE STORMS AND FLOODING,4546
8/10/2020,2020,8,Severe Storm,IA,Polk County,SEVERE STORMS,4557
4/22/2020,2020,4,Severe Storm,MS,Jones County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
4/12/2020,2020,4,Severe Storm,MS,Jones County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/5/2020,2020,2,Severe Storm,AL,Greene County,SEVERE STORMS AND FLOODING,4546
2/5/2020,2020,2,Severe Storm,AL,Blount County,SEVERE STORMS AND FLOODING,4546
4/12/2020,2020,4,Severe Storm,AL,Blount County,SEVERE THUNDERSTORMS,4555
4/19/2020,2020,4,Severe Storm,AL,Dale County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
2/5/2020,2020,2,Severe Storm,AL,Cullman County,SEVERE STORMS AND FLOODING,4546
4/12/2020,2020,4,Severe Storm,AL,Cullman County,SEVERE THUNDERSTORMS,4555
2/3/2020,2020,2,Severe Storm,KY,Menifee County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
1/10/2020,2020,1,Severe Storm,MS,Quitman County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/12/2020,2020,4,Severe Storm,MS,Quitman County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
6/29/2020,2020,6,Severe Storm,ND,Wells County,SEVERE STORMS AND FLOODING,4565
2/5/2020,2020,2,Severe Storm,AL,Fayette County,SEVERE STORMS AND FLOODING,4546
4/12/2020,2020,4,Severe Storm,MS,Tunica County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
4/12/2020,2020,4,Severe Storm,AL,Walker County,SEVERE THUNDERSTORMS,4555
2/6/2020,2020,2,Severe Storm,NC,Pender County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
5/3/2020,2020,5,Severe Storm,MO,Pemiscot County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
5/3/2020,2020,5,Severe Storm,MO,New Madrid County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
5/3/2020,2020,5,Severe Storm,MO,Wayne County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
4/12/2020,2020,4,Severe Storm,SC,Aiken County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
4/12/2020,2020,4,Severe Storm,MS,Montgomery County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
5/3/2020,2020,5,Severe Storm,MO,Oregon County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
4/12/2020,2020,4,Severe Storm,MS,Jasper County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/3/2020,2020,2,Severe Storm,KY,McCreary County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
1/10/2020,2020,1,Severe Storm,MS,Choctaw County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/12/2020,2020,4,Severe Storm,MS,Choctaw County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
8/10/2020,2020,8,Severe Storm,IA,Scott County,SEVERE STORMS,4557
5/3/2020,2020,5,Severe Storm,MO,Henry County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
6/29/2020,2020,6,Severe Storm,ND,Benson County,SEVERE STORMS AND FLOODING,4565
8/10/2020,2020,8,Severe Storm,IA,Tama County,SEVERE STORMS,4557
4/12/2020,2020,4,Severe Storm,MS,Yalobusha County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
1/10/2020,2020,1,Severe Storm,MS,DeSoto County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/19/2020,2020,4,Severe Storm,AL,Coffee County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
6/29/2020,2020,6,Severe Storm,ND,McKenzie County,SEVERE STORMS AND FLOODING,4565
4/12/2020,2020,4,Severe Storm,MS,Calhoun County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
5/3/2020,2020,5,Severe Storm,TN,Dyer County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/10/2020,2020,2,Severe Storm,MS,Leflore County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
4/12/2020,2020,4,Severe Storm,MS,Clarke County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
5/3/2020,2020,5,Severe Storm,MO,Dallas County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
2/6/2020,2020,2,Severe Storm,NC,Wayne County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
2/6/2020,2020,2,Severe Storm,NC,Randolph County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
8/10/2020,2020,8,Severe Storm,IA,Greene County,SEVERE STORMS,4557
4/12/2020,2020,4,Severe Storm,AL,DeKalb County,SEVERE THUNDERSTORMS,4555
2/3/2020,2020,2,Severe Storm,KY,Henderson County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/10/2020,2020,2,Severe Storm,MS,Warren County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
5/3/2020,2020,5,Severe Storm,TN,Henry County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
5/3/2020,2020,5,Severe Storm,MO,Wright County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
2/3/2020,2020,2,Severe Storm,KY,Hickman County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
4/12/2020,2020,4,Severe Storm,TN,Washington County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4541
4/12/2020,2020,4,Severe Storm,TN,Bradley County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4541
2/3/2020,2020,2,Severe Storm,KY,Lewis County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
4/12/2020,2020,4,Severe Storm,MS,Lafayette County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/10/2020,2020,2,Severe Storm,MS,Issaquena County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
2/5/2020,2020,2,Severe Storm,AL,Colbert County,SEVERE STORMS AND FLOODING,4546
5/3/2020,2020,5,Severe Storm,TN,Davidson County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/5/2020,2020,2,Severe Storm,AL,Tuscaloosa County,SEVERE STORMS AND FLOODING,4546
3/27/2020,2020,3,Severe Storm,HI,Kauai County,SEVERE STORMS AND FLOODING,4549
2/10/2020,2020,2,Severe Storm,MS,Hinds County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
4/12/2020,2020,4,Severe Storm,SC,Colleton County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
2/5/2020,2020,2,Severe Storm,AL,Choctaw County,SEVERE STORMS AND FLOODING,4546
4/12/2020,2020,4,Severe Storm,MS,Webster County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
4/19/2020,2020,4,Severe Storm,AL,Pike County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
4/22/2020,2020,4,Severe Storm,MS,Covington County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
4/12/2020,2020,4,Severe Storm,MS,Covington County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/6/2020,2020,2,Severe Storm,NC,Yancey County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
2/3/2020,2020,2,Severe Storm,KY,Powell County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/10/2020,2020,2,Severe Storm,MS,Holmes County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
4/12/2020,2020,4,Severe Storm,MS,Holmes County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
5/3/2020,2020,5,Severe Storm,TN,Humphreys County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
5/3/2020,2020,5,Severe Storm,TN,Maury County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
5/3/2020,2020,5,Severe Storm,TN,Madison County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
4/12/2020,2020,4,Severe Storm,SC,Berkeley County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
2/6/2020,2020,2,Severe Storm,SC,Oconee County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
4/12/2020,2020,4,Severe Storm,SC,Oconee County,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4542
2/6/2020,2020,2,Severe Storm,SC,Newberry County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
2/3/2020,2020,2,Severe Storm,KY,Owsley County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
5/3/2020,2020,5,Severe Storm,MO,Dunklin County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4552
5/3/2020,2020,5,Severe Storm,TN,Hickman County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
2/6/2020,2020,2,Severe Storm,SC,Bamberg County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
2/6/2020,2020,2,Severe Storm,NC,Cleveland County,"SEVERE STORMS, TORNADOES, AND FLOODING",4543
8/10/2020,2020,8,Severe Storm,IA,Washington County,SEVERE STORMS,4557
2/3/2020,2020,2,Severe Storm,KY,Monroe County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
1/10/2020,2020,1,Severe Storm,MS,Chickasaw County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/12/2020,2020,4,Severe Storm,MS,Chickasaw County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/3/2020,2020,2,Severe Storm,KY,Perry County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
1/10/2020,2020,1,Severe Storm,MS,Clay County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
2/10/2020,2020,2,Severe Storm,MS,Clay County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4538
4/12/2020,2020,4,Severe Storm,MS,Clay County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
2/6/2020,2020,2,Severe Storm,SC,Anderson County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4479
2/3/2020,2020,2,Severe Storm,KY,Knox County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/5/2020,2020,2,Severe Storm,AL,Dallas County,SEVERE STORMS AND FLOODING,4546
1/10/2020,2020,1,Severe Storm,MS,Tallahatchie County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4478
4/12/2020,2020,4,Severe Storm,MS,Tallahatchie County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING ",4536
4/22/2020,2020,4,Severe Storm,MS,Pike County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4551
2/3/2020,2020,2,Severe Storm,KY,Union County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
6/29/2020,2020,6,Severe Storm,ND,Mountrail County,SEVERE STORMS AND FLOODING,4565
4/12/2020,2020,4,Severe Storm,AL,Marshall County,SEVERE THUNDERSTORMS,4555
2/5/2020,2020,2,Severe Storm,AL,Wilcox County,SEVERE STORMS AND FLOODING,4546
4/12/2020,2020,4,Severe Storm,AL,Jackson County,SEVERE THUNDERSTORMS,4555
5/3/2020,2020,5,Severe Storm,TN,Dickson County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4550
4/19/2020,2020,4,Severe Storm,AL,Tallapoosa County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4554
2/3/2020,2020,2,Severe Storm,KY,Butler County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
2/3/2020,2020,2,Severe Storm,KY,Harlan County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4540
