date,year,month,category,state,county,title,fema_number
1/8/2023,2023,1,Flood,CA,Ventura County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
7/9/2023,2023,7,Flood,VT,Windham County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Windham County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
1/8/2023,2023,1,Flood,CA,Riverside County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
4/11/2023,2023,4,Flood,MN,Roseau County,SEVERE STORMS AND FLOODING,4722
6/1/2023,2023,6,Flood,MT,Garfield County,FLOODING,4745
1/8/2023,2023,1,Flood,CA,Tehama County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
4/9/2023,2023,4,Flood,SD,Clark County,FLOODING,4718
1/8/2023,2023,1,Flood,CA,Solano County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
4/11/2023,2023,4,Flood,MN,Chippewa County,SEVERE STORMS AND FLOODING,4722
2/15/2023,2023,2,Flood,KY,Letcher County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
6/1/2023,2023,6,Flood,MT,Stillwater County,FLOODING,4745
2/15/2023,2023,2,Flood,KY,Leslie County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
3/9/2023,2023,3,Flood,CA,Amador County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
3/8/2023,2023,3,Flood,NV,Lyon County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708
4/10/2023,2023,4,Flood,ND,Nelson County,FLOODING,4717
3/9/2023,2023,3,Flood,CA,Calaveras County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/9/2023,2023,4,Flood,SD,Brown County,FLOODING,4718
5/12/2023,2023,5,Flood,AK,Bering Strait Regional Educational Attendance Area,FLOODING,4730
5/12/2023,2023,5,Flood,AK,Iditarod Area Regional Educational Attendance Area,FLOODING,4730
4/11/2023,2023,4,Flood,MN,Aitkin County,SEVERE STORMS AND FLOODING,4722
1/8/2023,2023,1,Flood,CA,Tulare County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Tulare County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,VT,Rutland County,FLOODING,3595
