,date,year,month,category,state,county,title,fema_number,area
5792,1/7/06,2006,1,Fire,TX,Bastrop County,CEDAR CREEK FIRE,2612,"261,914"
5793,1/5/06,2006,1,Fire,TX,Bexar County,BULVERDE FIRE,2609,"261,914"
5794,6/7/06,2006,6,Fire,AK,Yukon Koyukuk Regional Educational Attendance Area,PARKS HIGHWAY (TAMARACK) FIRE,2641,"570,641"
5795,7/27/06,2006,7,Fire,OR,Deschutes County,BLACK CRATER FIRE,2659,"96,003"
5796,4/6/06,2006,4,Fire,OK,McClain County,NEW CASTLE FIRE,2635,"68,679"
5797,7/28/06,2006,7,Fire,NE,Sioux County,SIOUX COUNTY FIRE COMPLEX,2661,"76,878"
5798,4/6/06,2006,4,Fire,OK,Caddo County,CEMENT FIRE,2634,"68,679"
5799,1/5/06,2006,1,Fire,TX,Nacogdoches County,MILL CREEK FIRE,2611,"261,914"
5800,9/1/06,2006,9,Fire,HI,Maui County,MA'ALAEA FIRE,2673,"6,423"
5801,4/15/06,2006,4,Fire,VA,Patrick County,BULL MOUNTAIN FIRE,2637,"39,598"
5802,6/18/06,2006,6,Fire,CO,Costilla County,MALO VEGA FIRE,2646,"103,730"
5803,11/15/06,2006,11,Fire,TX,Hays County,RIM ROCK FIRE,2680,"261,914"
5804,1/15/06,2006,1,Fire,OK,Noble County,NORTH STILLWATER FIRE,2623,"68,679"
5806,1/1/06,2006,1,Fire,OK,Kingfisher County,CASHION FIRE COMPLEX,2603,"68,679"
5807,1/9/06,2006,1,Fire,OK,McIntosh County,HENRYETTA FIRE,2616,"68,679"
5809,6/26/06,2006,6,Fire,NV,Washoe County,OREGON FIRE,2649,"109,806"
5810,1/1/06,2006,1,Fire,OK,Pottawatomie County,BETHEL ACRES FIRE,2602,"68,679"
5811,8/11/06,2006,8,Fire,NV,Washoe County,VERDI FIRE,2664,"109,806"
5812,6/18/06,2006,6,Fire,NM,Colfax County,RIVERA MESA FIRE,2647,"121,365"
5814,8/30/06,2006,8,Fire,MT,Stillwater County,DERBY FIRE,2671,"145,556"
5816,1/1/06,2006,1,Fire,TX,Eastland County,CARBON FIRE,2596,"261,914"
5817,6/27/06,2006,6,Fire,TX,Denton County,NORTH TRINITY FIRE,2651,"261,914"
5818,9/9/06,2006,9,Fire,WA,Chelan County,FLICK CREEK FIRE,2674,"66,582"
5819,6/1/06,2006,6,Fire,AZ,Yavapai County,LA BARRANCA FIRE,2640,"113,642"
5820,1/14/06,2006,1,Fire,TX,Stephens County,CADDO FIRE,2620,"261,914"
5821,1/18/06,2006,1,Fire,OK,Creek County,KIEFER FIRE,2625,"68,679"
5822,2/6/06,2006,2,Fire,CA,Orange County,SIERRA FIRE,2630,"155,973"
5824,8/21/06,2006,8,Fire,WA,Columbia County,COLUMBIA FIRE COMPLEX,2668,"66,582"
5826,1/1/06,2006,1,Fire,OK,Oklahoma County,63RD STREET FIRE,2607,"68,679"
5827,9/25/06,2006,9,Fire,CA,Ventura County,DAY FIRE,2677,"155,973"
5828,1/13/06,2006,1,Fire,TX,Caldwell County,LOCKHART FIRE,2619,"261,914"
5829,1/17/06,2006,1,Fire,TX,Johnson County,HUNTINGTON BROOK FIRE,2621,"261,914"
5830,6/18/06,2006,6,Fire,AZ,Coconino County,BRINS FIRE,2645,"113,642"
5831,7/13/06,2006,7,Fire,WY,Crook County,THORN DIVIDE FIRE COMPLEX,2654,"97,105"
5832,3/4/22,2022,3,Fire,FL,Bay County,CHIPOLA FIRE COMPLEX,5426,"53,997"
5834,5/18/22,2022,5,Fire,TX,Taylor County,MESQUITE HEAT FIRE,5440,"261,914"
5835,4/19/22,2022,4,Fire,AZ,Coconino County,TUNNEL 2 FIRE,5434,"113,642"
5836,9/10/22,2022,9,Fire,WA,King County,BOLT CREEK FIRE,5455,"66,582"
5838,8/2/22,2022,8,Fire,OR,Wasco County,MILLER ROAD FIRE,5446,"96,003"
5839,4/22/22,2022,4,Fire,NE,Frontier County,ROAD 702 FIRE,5436,"76,878"
5842,8/4/22,2022,8,Fire,WA,Adams County,LIND FIRE,5447,"66,582"
5843,4/28/22,2022,4,Fire,NM,Colfax County,COOK'S PEAK FIRE,5437,"121,365"
5844,3/20/22,2022,3,Fire,TX,Hood County,BIG L FIRE,5429,"261,914"
5845,6/21/22,2022,6,Fire,AK,Denali Borough,CLEAR FIRE,5442,"570,641"
5847,4/12/22,2022,4,Fire,NM,San Miguel County,HERMIT'S PEAK FIRE,5431,"121,365"
5848,7/22/22,2022,7,Fire,CA,Mariposa County,OAK FIRE,5445,"155,973"
5849,8/18/22,2022,8,Fire,ID,Adams County,FOUR CORNERS FIRE,5449,"82,751"
5852,10/16/22,2022,10,Fire,WA,Clark County,NAKIA CREEK FIRE,5456,"66,582"
5854,3/4/22,2022,3,Fire,FL,Bay County,1707 ADKINS AVE FIRE,5424,"53,997"
5855,3/17/22,2022,3,Fire,TX,Eastland County,KIDD FIRE,5427,"261,914"
5856,3/17/22,2022,3,Fire,TX,Eastland County,WHEAT FIELD FIRE,5428,"261,914"
5857,4/12/22,2022,4,Fire,NM,Lincoln County,MCBRIDE FIRE,5432,"121,365"
5858,9/5/22,2022,9,Fire,ID,Blaine County,ROSS FORK FIRE,5452,"82,751"
5859,4/5/22,2022,4,Fire,NM,Los Alamos County,"WILDFIRES, STRAIGHT-LINE WINDS, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",4652,"121,365"
5866,3/5/22,2022,3,Fire,KS,Harvey County,COTTONWOOD FIRE COMPLEX,5425,"81,823"
5868,4/12/22,2022,4,Fire,NM,Lincoln County,NOGAL CANYON FIRE,5433,"121,365"
5869,5/11/22,2022,5,Fire,CA,Orange County,COASTAL FIRE,5439,"155,973"
5870,4/11/22,2022,4,Fire,NM,Valencia County,BIG HOLE FIRE,5430,"121,365"
5871,9/10/22,2022,9,Fire,OR,Clackamas County,MILO MCIVER FIRE,5454,"96,003"
5872,9/9/22,2022,9,Fire,CA,El Dorado County,MOSQUITO FIRE,5453,"155,973"
5874,4/20/22,2022,4,Fire,NM,San Miguel County,CALF CANYON FIRE,5438,"121,365"
5875,7/7/22,2022,7,Fire,TX,Bosque County,HARD CASTLE FIRE,5443,"261,914"
5876,9/2/22,2022,9,Fire,CA,Siskiyou County,MILL FIRE,5450,"155,973"
5877,4/18/22,2022,4,Fire,AZ,Yavapai County,CROOKS FIRE,5435,"113,642"
5878,7/18/22,2022,7,Fire,TX,Hood County,CHALK MOUNTAIN FIRE,5444,"261,914"
5880,6/12/22,2022,6,Fire,AZ,Coconino County,PIPELINE FIRE,5441,"113,642"
5881,9/5/22,2022,9,Fire,CA,Riverside County,FAIRVIEW FIRE,5451,"155,973"
5882,8/14/22,2022,8,Fire,NV,Washoe County,JOY LAKE FIRE,5448,"109,806"
5883,7/29/18,2018,7,Fire,TX,Burnet County,PARK ROAD FIRE,5264,"261,914"
5884,4/13/18,2018,4,Fire,TX,Hutchinson County,HARBOR BAY FIRE,5233,"261,914"
5885,7/5/18,2018,7,Fire,CA,Siskiyou County,KLAMATHON FIRE,5250,"155,973"
5886,6/24/18,2018,6,Fire,CA,Lake County,PAWNEE FIRE,5244,"155,973"
5887,8/2/18,2018,8,Fire,WA,Lincoln County,ANGEL SPRINGS FIRE,5266,"66,582"
5888,7/19/18,2018,7,Fire,WA,Grant County,BUCKSHOT FIRE,5257,"66,582"
5889,7/23/18,2018,7,Fire,TX,Brown County,259 FIRE,5258,"261,914"
5890,6/24/18,2018,6,Fire,CA,Shasta County,CREEK FIRE,5245,"155,973"
5891,6/7/18,2018,6,Fire,NM,Otero County,SOLDIER CANYON FIRE,5240,"121,365"
5892,8/11/18,2018,8,Fire,WA,Douglas County,GRASS VALLEY FIRE,5271,"66,582"
5894,11/8/18,2018,11,Fire,CA,Los Angeles County,WOOLSEY FIRE,5280,"155,973"
5896,7/25/18,2018,7,Fire,CA,Riverside County,CRANSTON FIRE,5260,"155,973"
5897,7/7/18,2018,7,Fire,CA,Santa Barbara County,HOLIDAY FIRE,5252,"155,973"
5898,7/23/18,2018,7,Fire,CA,Shasta County,WILDFIRE,3398,"155,973"
5899,4/13/18,2018,4,Fire,TX,Jones County,335 FIRE,5234,"261,914"
5900,8/9/18,2018,8,Fire,CA,Riverside County,HOLY FIRE,5268,"155,973"
5901,11/8/18,2018,11,Fire,CA,Butte County,CAMP FIRE,5278,"155,973"
5902,7/18/18,2018,7,Fire,OR,Jackson County,GARNER FIRE COMPLEX,5256,"96,003"
5904,8/11/18,2018,8,Fire,WA,Ferry County,BOYD'S FIRE,5273,"66,582"
5905,3/16/18,2018,3,Fire,OK,Pottawatomie County,SHUMACH FIRE COMPLEX,5230,"68,679"
5906,8/10/18,2018,8,Fire,WA,Yakama Reservation,HAWK FIRE,5269,"66,582"
5908,6/11/18,2018,6,Fire,WY,Albany County,BADGER CREEK FIRE,5241,"97,105"
5909,8/10/18,2018,8,Fire,WA,Chelan County,COUGAR CREEK FIRE,5270,"66,582"
5910,5/2/18,2018,5,Fire,TX,Jeff Davis County,MCDANNALD FIRE,5237,"261,914"
5911,7/4/18,2018,7,Fire,CO,Eagle County,LAKE CHRISTINE FIRE,5249,"103,730"
5912,7/9/18,2018,7,Fire,WA,Kittitas County,RYEGRASS COULEE FIRE,5253,"66,582"
5913,7/2/18,2018,7,Fire,UT,Duchesne County,DOLLAR RIDGE FIRE,5248,"82,168"
5915,4/27/18,2018,4,Fire,AZ,Coconino County,TINDER FIRE,5236,"113,642"
5916,6/28/18,2018,6,Fire,CO,Costilla County,SPRING CREEK FIRE,5246,"103,730"
5918,7/27/18,2018,7,Fire,WA,Douglas County,CHELAN HILLS FIRE,5261,"66,582"
5919,6/30/18,2018,6,Fire,CO,Teller County,CHATEAU FIRE,5247,"103,730"
5920,4/11/18,2018,4,Fire,OK,Woodward County,34 FIRE COMPLEX,5231,"68,679"
5921,5/31/18,2018,5,Fire,NM,Colfax County,UTE PARK FIRE,5239,"121,365"
5922,7/29/18,2018,7,Fire,CA,Hopland Rancheria Indian Reservation,MENDOCINO FIRE COMPLEX,5262,"155,973"
5925,9/21/18,2018,9,Fire,UT,Utah County,BALD MOUNTAIN FIRE,5277,"82,168"
5926,11/8/18,2018,11,Fire,CA,Butte County,WILDFIRES,3409,"155,973"
5929,9/2/18,2018,9,Fire,OR,Josephine County,HUGO ROAD FIRE,5275,"96,003"
5930,11/8/18,2018,11,Fire,CA,Butte County,WILDFIRES,4407,"155,973"
5933,7/23/18,2018,7,Fire,CA,Lake County,WILDFIRES AND HIGH WINDS,4382,"155,973"
5935,4/11/18,2018,4,Fire,OK,Dewey County,RHEA FIRE COMPLEX,5232,"68,679"
5936,7/17/18,2018,7,Fire,OR,Sherman County,SUBSTATION FIRE,5255,"96,003"
5938,6/17/18,2018,6,Fire,NV,Lyon County,UPPER COLONY FIRE,5242,"109,806"
5939,7/23/18,2018,7,Fire,CA,Shasta County,CARR FIRE,5259,"155,973"
5941,12/4/17,2017,12,Fire,CA,Los Angeles County,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",4353,"155,973"
5945,4/17/18,2018,4,Fire,TX,Gray County,MCCLELLAN FIRE,5235,"261,914"
5946,4/11/18,2018,4,Fire,OK,Custer County,WILDFIRES,4373,"68,679"
5951,7/28/18,2018,7,Fire,ID,Clark County,GRASSY RIDGE FIRE,5263,"82,751"
5952,8/1/18,2018,8,Fire,OR,Wasco County,SOUTH VALLEY FIRE,5265,"96,003"
5953,9/18/18,2018,9,Fire,WY,Sublette County,ROOSEVELT FIRE,5276,"97,105"
5954,8/6/18,2018,8,Fire,UT,Sanpete County,HILLTOP FIRE,5267,"82,168"
5955,6/21/18,2018,6,Fire,OR,Jefferson County,GRAHAM FIRE,5243,"96,003"
5956,7/17/18,2018,7,Fire,WA,Spokane County,UPRIVER BEACON FIRE,5254,"66,582"
5957,11/8/18,2018,11,Fire,CA,Ventura County,HILL FIRE,5279,"155,973"
5958,5/11/18,2018,5,Fire,AZ,Yavapai County,89 EAST FIRE,5238,"113,642"
5959,8/11/18,2018,8,Fire,SD,Fall River County,VINEYARD FIRE,5272,"75,898"
5960,8/23/18,2018,8,Fire,OR,Jackson County,RAMSEY CANYON FIRE,5274,"96,003"
5961,7/6/18,2018,7,Fire,CA,San Diego County,WEST FIRE,5251,"155,973"
5962,7/28/13,2013,7,Fire,OR,Josephine County,BRIMSTONE FIRE,5039,"96,003"
5963,6/11/13,2013,6,Fire,CO,Fremont County,ROYAL GORGE FIRE,5028,"103,730"
5964,8/10/13,2013,8,Fire,WA,Chelan County,MILE POST 10 FIRE,5042,"66,582"
5965,7/27/13,2013,7,Fire,WA,Chelan County,COLOCKUM TARPS FIRE,5038,"66,582"
5967,5/30/13,2013,5,Fire,NM,San Miguel County,TRES LAGUNAS FIRE,5026,"121,365"
5968,7/19/13,2013,7,Fire,OR,Josephine County,PACIFICA FIRE,5036,"96,003"
5969,6/18/13,2013,6,Fire,AZ,Yavapai County,DOCE FIRE,5029,"113,642"
5970,7/4/13,2013,7,Fire,NV,Clark County,CARPENTER 1 FIRE,5034,"109,806"
5971,9/9/13,2013,9,Fire,CA,Shasta County,CLOVER FIRE,5050,"155,973"
5972,6/30/13,2013,6,Fire,AZ,Yavapai County,YARNELL HILL FIRE,5032,"113,642"
5973,8/5/13,2013,8,Fire,CA,Riverside County,FALLS FIRE,5040,"155,973"
5974,7/1/13,2013,7,Fire,AZ,Mohave County,DEAN PEAK FIRE,5033,"113,642"
5975,8/17/13,2013,8,Fire,OR,Hood River County,GOVERNMENT FLATS FIRE COMPLEX,5046,"96,003"
5977,8/17/13,2013,8,Fire,CA,Tuolumne County,RIM FIRE,4158,"155,973"
5978,5/31/13,2013,5,Fire,CA,Los Angeles County,POWERHOUSE FIRE,5025,"155,973"
5979,8/13/13,2013,8,Fire,UT,Summit County,ROCKPORT FIVE FIRE,5044,"82,168"
5980,6/21/13,2013,6,Fire,CO,Mineral County,WEST FORK FIRE COMPLEX,5031,"103,730"
5982,7/18/13,2013,7,Fire,MT,Mineral County,WEST MULLAN FIRE,5035,"145,556"
5983,5/2/13,2013,5,Fire,CA,Ventura County,SPRINGS FIRE,5024,"155,973"
5984,8/12/13,2013,8,Fire,ID,Elmore County,ELK FIRE,5043,"82,751"
5985,8/7/13,2013,8,Fire,CA,Riverside County,SILVER FIRE,5041,"155,973"
5986,6/11/13,2013,6,Fire,CO,El Paso County,BLACK FOREST FIRE,5027,"103,730"
5987,8/20/13,2013,8,Fire,CA,Mariposa County,RIM FIRE,5049,"155,973"
5989,8/15/13,2013,8,Fire,ID,Blaine County,BEAVER CREEK FIRE,5045,"82,751"
5991,5/1/13,2013,5,Fire,CA,Riverside County,SUMMIT FIRE,5023,"155,973"
5992,6/11/13,2013,6,Fire,CO,El Paso County,BLACK FOREST WILDFIRE,4134,"103,730"
5993,6/11/13,2013,6,Fire,CO,Fremont County,ROYAL GORGE FIRE,4133,"103,730"
5994,7/27/13,2013,7,Fire,OR,Douglas County,DOUGLAS FIRE COMPLEX,5037,"96,003"
5996,8/18/13,2013,8,Fire,MT,Missoula County,LOLO CREEK FIRE COMPLEX,5047,"145,556"
5997,7/29/13,2013,7,Fire,CA,Karuk Reservation,WILDFIRE,4142,"155,973"
5998,8/20/13,2013,8,Fire,WA,Chelan County,EAGLE FIRE,5048,"66,582"
5999,6/19/13,2013,6,Fire,CO,Huerfano County,EAST PEAK FIRE,5030,"103,730"
6000,12/29/05,2005,12,Fire,OK,Oklahoma County,EASTERN OKLAHOMA COUNTY FIRE COMPLEX,2595,"68,679"
6001,7/25/05,2005,7,Fire,CA,Madera County,CA-QUARTZ FIRE-7-25-2005,2571,"155,973"
6002,11/27/05,2005,11,Fire,OK,Garvin County,ANTIOCH FIRE,2589,"68,679"
6003,8/22/05,2005,8,Fire,NV,Elko County,VOR-MCCARTY FIRE,2578,"109,806"
6004,6/22/05,2005,6,Fire,AZ,Yavapai County,AZ-HUMBUG FIRE 06-23--2005,2562,"113,642"
6005,12/27/05,2005,12,Fire,OK,Bryan County,ACHILLE FIRE COMPLEX,2594,"68,679"
6006,8/28/05,2005,8,Fire,NV,Elko County,CHANCE FIRE,2581,"109,806"
6007,11/27/05,2005,11,Fire,OK,Mayes County,FLAT ROCK FIRE COMPLEX,2587,"68,679"
6008,9/5/05,2005,9,Fire,CA,San Diego County,SUNDEVIL FIRE,2582,"155,973"
6009,4/17/05,2005,4,Fire,SD,Lawrence County,SD WILDFIRE CAMP FIVE,2557,"75,898"
6010,6/8/05,2005,6,Fire,AZ,Maricopa County,AZ-BOBBY FIRE-06-08-2005,2559,"113,642"
6011,7/9/05,2005,7,Fire,SD,Meade County,SD RICCO FIRE,2565,"75,898"
6012,7/31/05,2005,7,Fire,WA,Chelan County,DIRTY FACE FIRE,2572,"66,582"
6013,8/7/05,2005,8,Fire,WA,Columbia County,SCHOOL FIRE,2575,"66,582"
6015,8/14/05,2005,8,Fire,HI,Honolulu County,NANAKULI BRUSH FIRE,2576,"6,423"
6016,7/8/05,2005,7,Fire,CO,Custer County,MASON FIRE,2566,"103,730"
6018,8/17/05,2005,8,Fire,HI,Honolulu County,WAIKELE FIRE,2577,"6,423"
6019,6/21/05,2005,6,Fire,AZ,Maricopa County,CAVE CREEK FIRE COMPLEX,2561,"113,642"
6021,11/27/05,2005,11,Fire,OK,McIntosh County,TEXANNA ROAD FIRE,2590,"68,679"
6022,12/26/05,2005,12,Fire,OK,Seminole County,HUGHES COUNTY FIRE COMPLEX,2592,"68,679"
6023,8/26/05,2005,8,Fire,CA,Shasta County,MANTON FIRE,2580,"155,973"
6025,8/1/05,2005,8,Fire,HI,Hawaii County,LALAMILO FIRE,2573,"6,423"
6026,9/28/05,2005,9,Fire,CA,Los Angeles County,TOPANGA FIRE,2583,"155,973"
6028,12/27/05,2005,12,Fire,TX,Tarrant County,KENNEDALE FIRE,2593,"261,914"
6029,8/25/05,2005,8,Fire,OR,Josephine County,DEER CREEK FIRE,2579,"96,003"
6030,10/5/05,2005,10,Fire,CA,Riverside County,WOODHOUSE FIRE,2584,"155,973"
6031,7/16/05,2005,7,Fire,NV,Elko County,CARLIN FIRE,2568,"109,806"
6033,7/15/05,2005,7,Fire,NV,Elko County,CONTACT FIRE,2567,"109,806"
6034,7/16/05,2005,7,Fire,SD,Pennington County,SD SKYLINE #2 FIRE 7/16/05,2569,"75,898"
6035,11/29/05,2005,11,Fire,OK,Carter County,VELMA FIRE COMPLEX,2588,"68,679"
6036,8/2/05,2005,8,Fire,HI,Hawaii County,AKONI PULE HIGHWAY FIRE,2574,"6,423"
6037,6/27/05,2005,6,Fire,UT,Washington County,BLUE SPRINGS FIRE,2564,"82,168"
6038,7/21/05,2005,7,Fire,AZ,Gila County,AZ-WILDFIRE (EDGE COMPLEX) 07-22-2005,2570,"113,642"
6040,10/5/05,2005,10,Fire,CA,San Diego County,BORDER # 50 FIRE,2585,"155,973"
6041,5/26/05,2005,5,Fire,AZ,Pinal County,VEKOL FIRE-05-26-2005,2558,"113,642"
6042,6/11/05,2005,6,Fire,AZ,Mohave County,AZ-HULET FIRE-06-11-2005,2560,"113,642"
6043,6/22/05,2005,6,Fire,NV,Clark County,GOOD SPRINGS FIRE,2563,"109,806"
6044,11/18/05,2005,11,Fire,CA,Ventura County,SCHOOL FIRE,2586,"155,973"
6045,12/27/05,2005,12,Fire,TX,Callahan County,CALLAHAN COUNTY FIRE,2591,"261,914"
6046,9/21/09,2009,9,Fire,OR,Jackson County,SOUTH COUNTY FIRE COMPLEX,2838,"96,003"
6047,4/13/09,2009,4,Fire,OK,Payne County,MULHALL FIRE,2813,"68,679"
6048,8/21/09,2009,8,Fire,WA,Okanogan County,ODEN ROAD FIRE,2826,"66,582"
6049,7/25/09,2009,7,Fire,UT,Washington County,MILL FLAT FIRE,2831,"82,168"
6050,4/9/09,2009,4,Fire,TX,Bastrop County,MONTAGUE FIRE COMPLEX,2806,"261,914"
6051,4/9/09,2009,4,Fire,TX,Stephens County,BRECKENRIDGE FIRE,2810,"261,914"
6052,10/3/09,2009,10,Fire,CA,San Bernardino County,SHEEP FIRE,2841,"155,973"
6053,4/2/09,2009,4,Fire,TX,Live Oak County,LAGARTO FIRE,2801,"261,914"
6054,4/5/09,2009,4,Fire,TX,Aransas County,HOLIDAY BEACH FIRE,2803,"261,914"
6055,3/5/09,2009,3,Fire,OK,Statewide,TALOGA FIRE,2799,"68,679"
6056,8/30/09,2009,8,Fire,CA,Placer County,49 FIRE,2832,"155,973"
6057,5/6/09,2009,5,Fire,NM,Otero County,BUCKWOOD FIRE,2818,"121,365"
6058,3/3/09,2009,3,Fire,TX,Statewide,LOMA DEL NORTE FIRE,2797,"261,914"
6059,4/23/09,2009,4,Fire,SC,Horry County,HIGHWAY 31 FIRE,2816,"30,111"
6060,4/9/09,2009,4,Fire,TX,Hamilton County,617 FIRE,2815,"261,914"
6061,8/12/09,2009,8,Fire,CA,Santa Cruz County,LOCKHEED FIRE,2824,"155,973"
6062,4/9/09,2009,4,Fire,OK,Oklahoma County,MIDWEST CHOCTAW FIRE,2808,"68,679"
6063,9/3/09,2009,9,Fire,MT,Stillwater County,EAGLE MOUNT FIRE,2837,"145,556"
6064,5/12/09,2009,5,Fire,AK,Kenai Peninsula Borough,MILE 17 EAST END ROAD FIRE,2820,"570,641"
6065,8/31/09,2009,8,Fire,CA,San Bernardino County,PENDLETON FIRE,2836,"155,973"
6066,3/20/09,2009,3,Fire,TX,Midland County,GREENWOOD FIRE,2800,"261,914"
6067,4/9/09,2009,4,Fire,OK,Carter County,WILDFIRES,1846,"68,679"
6076,8/30/09,2009,8,Fire,CA,San Bernardino County,OAK GLEN FIRE,2833,"155,973"
6077,4/9/09,2009,4,Fire,TX,Palo Pinto County,1148 FIRE,2814,"261,914"
6078,2/25/09,2009,2,Fire,TX,Callahan County,CLYDE FIRE,2794,"261,914"
6079,7/15/09,2009,7,Fire,NV,Washoe County,RED ROCK FIRE,2822,"109,806"
6080,8/14/09,2009,8,Fire,CA,Nevada County,YUBA FIRE,2825,"155,973"
6082,7/28/09,2009,7,Fire,WA,Chelan County,UNION VALLEY FIRE,2823,"66,582"
6083,2/27/09,2009,2,Fire,TX,Taylor County,RHODES RANCH FIRE,2795,"261,914"
6084,4/9/09,2009,4,Fire,OK,Stephens County,VELMA FIRE,2812,"68,679"
6085,8/27/09,2009,8,Fire,CA,Los Angeles County,PV FIRE,2828,"155,973"
6086,4/9/09,2009,4,Fire,OK,McClain County,MCCLAIN COUNTY FIRE,2809,"68,679"
6087,2/28/09,2009,2,Fire,TX,Bastrop County,WILDERNESS RIDGE FIRE,2796,"261,914"
6088,4/9/09,2009,4,Fire,TX,Wichita County,ELECTRA WEST FIRE,2805,"261,914"
6089,10/2/09,2009,10,Fire,AZ,Coconino County,TWIN FIRE,2840,"113,642"
6090,3/5/09,2009,3,Fire,TX,Taylor County,TUSCOLA FIRE,2798,"261,914"
6091,5/11/09,2009,5,Fire,FL,Martin County,MARTIN COUNTY FIRE COMPLEX,2819,"53,997"
6092,4/9/09,2009,4,Fire,OK,Carter County,HEALDTON CARTER FIRE,2811,"68,679"
6093,9/22/09,2009,9,Fire,CA,Ventura County,GUIBERSON FIRE,2839,"155,973"
6094,5/5/09,2009,5,Fire,CA,Santa Barbara County,JESUSITA FIRE,2817,"155,973"
6095,5/18/09,2009,5,Fire,AZ,Cochise County,MULE PASS FIRE,2821,"113,642"
6096,8/30/09,2009,8,Fire,AZ,Gila County,WATER WHEEL FIRE,2835,"113,642"
6097,8/27/09,2009,8,Fire,CA,Los Angeles County,STATION FIRE,2830,"155,973"
6098,8/29/09,2009,8,Fire,HI,Maui County,KAUNAKAKAI FIRE,2834,"6,423"
6099,1/7/09,2009,1,Fire,CO,Boulder County,OLDE STAGE FIRE,2793,"103,730"
6100,4/4/09,2009,4,Fire,TX,Wheeler County,MAGIC CITY FIRE,2802,"261,914"
6101,8/28/09,2009,8,Fire,OR,Hood River County,MICROWAVE FIRE,2829,"96,003"
6103,4/7/09,2009,4,Fire,TX,Callahan County,STEEL FIRE,2804,"261,914"
6104,4/9/09,2009,4,Fire,TX,Statewide,CEMENT MOUNTAIN FIRE,2807,"261,914"
6105,8/21/09,2009,8,Fire,WA,Benton County,DRY CREEK FIRE COMPLEX,2827,"66,582"
6107,9/6/20,2020,9,Fire,CO,Grand County,WILDFIRES,4581,"103,730"
6109,10/12/21,2021,10,Fire,CA,Santa Barbara County,ALISAL FIRE,5419,"155,973"
6110,7/12/21,2021,7,Fire,WA,Colville Indian Reservation,WILDFIRES,4631,"66,582"
6111,12/30/21,2021,12,Fire,CO,Boulder County,WILDFIRES AND STRAIGHT-LINE WINDS,4634,"103,730"
6112,8/24/21,2021,8,Fire,CA,Kern County,FRENCH FIRE,5416,"155,973"
6113,8/17/21,2021,8,Fire,CA,Trinity County,MONUMENT FIRE,5412,"155,973"
6114,7/14/21,2021,7,Fire,CA,Lassen County,WILDFIRES,4610,"155,973"
6120,7/28/21,2021,7,Fire,MT,Crow Indian Reservation,PF FIRE,5403,"145,556"
6122,10/4/21,2021,10,Fire,SD,Pennington County,AUBURN FIRE,5418,"75,898"
6123,9/23/21,2021,9,Fire,CA,Shasta County,FAWN FIRE,5417,"155,973"
6124,12/30/21,2021,12,Fire,CO,Boulder County,MARSHALL FIRE,5423,"103,730"
6125,12/15/21,2021,12,Fire,OK,Texas County,COBB FIRE,5421,"68,679"
6126,8/14/21,2021,8,Fire,CA,El Dorado County,WILDFIRES,4619,"155,973"
6128,8/12/21,2021,8,Fire,ID,Nez Perce Indian Reservation,BEDROCK FIRE,5407,"82,751"
6130,8/14/21,2021,8,Fire,CA,El Dorado County,CALDOR FIRE,5413,"155,973"
6131,8/19/21,2021,8,Fire,WA,Yakima County,SCHNEIDER SPRINGS FIRE,5415,"66,582"
6132,7/19/21,2021,7,Fire,WA,Okanogan County,CEDAR CREEK FIRE,5401,"66,582"
6133,8/16/21,2021,8,Fire,WA,Stevens County,FORD CORKSCREW FIRE,5411,"66,582"
6134,7/20/21,2021,7,Fire,CA,Lassen County,DIXIE FIRE,5400,"155,973"
6136,7/16/21,2021,7,Fire,MT,Yellowstone County,BUFFALO WILDFIRE,5399,"145,556"
6137,12/10/21,2021,12,Fire,TX,Wichita County,COUNTY LINE FIRE,5420,"261,914"
6138,3/29/21,2021,3,Fire,SD,Pennington County,SCHROEDER FIRE,5384,"75,898"
6139,8/17/21,2021,8,Fire,WA,Chelan County,TWENTYFIVE MILE FIRE,5414,"66,582"
6140,6/5/21,2021,6,Fire,UT,Garfield County,MAMMOTH FIRE,5388,"82,168"
6141,6/6/21,2021,6,Fire,AZ,Gila County,TELEGRAPH FIRE,5389,"113,642"
6143,6/10/21,2021,6,Fire,UT,San Juan County,PACK CREEK FIRE,5391,"82,168"
6144,9/1/20,2020,9,Fire,WA,Colville Indian Reservation,WILDFIRES AND STRAIGHT-LINE WINDS,4584,"66,582"
6156,8/14/21,2021,8,Fire,CA,Alpine County,CALDOR FIRE,3571,"155,973"
6160,4/26/21,2021,4,Fire,NM,Lincoln County,THREE RIVERS FIRE,5386,"121,365"
6161,8/8/21,2021,8,Fire,MT,Northern Cheyenne Indian Reservation,RICHARD SPRING FIRE,4623,"145,556"
6163,12/15/21,2021,12,Fire,TX,Carson County,NORTH 207 FIRE,5422,"261,914"
6164,6/15/21,2021,6,Fire,MT,Carbon County,ROBERTSON DRAW FIRE,5392,"145,556"
6165,4/8/21,2021,4,Fire,AZ,Pinal County,MARGO FIRE,5385,"113,642"
6166,7/5/21,2021,7,Fire,WA,Spokane County,ANDRUS FIRE,5395,"66,582"
6167,6/29/21,2021,6,Fire,OR,Deschutes County,0419 FIRE,5394,"96,003"
