,date,year,month,category,state,county,title,fema_number,area
746,2/5/10,2010,2,Snowstorm,DE,Kent County,SEVERE WINTER STORMS AND SNOWSTORMS,1896,"1,955"
749,12/19/09,2009,12,Snowstorm,NJ,Atlantic County,SNOWSTORM,1873,"7,419"
756,2/5/10,2010,2,Snowstorm,MD,Allegany County,SEVERE WINTER STORMS AND SNOWSTORMS,1910,"9,775"
778,12/18/09,2009,12,Snowstorm,VA,Albemarle County,SEVERE WINTER STORM AND SNOWSTORM,1874,"39,598"
828,2/5/10,2010,2,Snowstorm,VA,Albemarle County,SEVERE WINTER STORMS AND SNOWSTORMS,1905,"39,598"
866,2/5/10,2010,2,Snowstorm,NJ,Atlantic County,SEVERE WINTER STORM AND SNOWSTORM,1889,"7,419"
873,12/18/09,2009,12,Snowstorm,WV,Boone County,SEVERE WINTER STORM AND SNOWSTORM,1881,"24,087"
891,11/17/14,2014,11,Snowstorm,NY,Cattaraugus County,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",4204,
900,2/12/07,2007,2,Snowstorm,IN,Adams County,SNOW,3274,"35,870"
949,12/18/06,2006,12,Snowstorm,CO,Adams County,SNOW,3270,"103,730"
965,12/28/06,2006,12,Snowstorm,CO,Baca County,SNOW,3271,"103,730"
975,2/28/07,2007,2,Snowstorm,IA,Adair County,SNOW,3275,"55,875"
1005,2/2/07,2007,2,Snowstorm,NY,Lewis County,RECORD SNOW AND NEAR RECORD SNOW,3273,
1008,12/23/22,2022,12,Snowstorm,NY,Genesee County,SEVERE WINTER STORM AND SNOWSTORM,4694,
1013,11/9/22,2022,11,Snowstorm,ND,Dickey County,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",4686,"68,994"
1020,2/15/15,2015,2,Snowstorm,KY,Adair County,"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES ",4216,"39,732"
1061,1/26/15,2015,1,Snowstorm,ME,Androscoggin County,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",4208,"30,865"
1065,3/14/17,2017,3,Snowstorm,NY,Albany County,SEVERE WINTER STORM AND SNOWSTORM,4322,
1093,4/28/17,2017,4,Snowstorm,KS,Cherokee County,"SEVERE WINTER STORM, SNOWSTORM, STRAIGHT-LINE WINDS, AND FLOODING",4319,"81,823"
1120,6/1/11,2011,6,Flood,MO,Andrew County,FLOODING,3325,"68,898"
1148,2/14/11,2011,2,Flood,ND,Fort Berthold Indian Reservation,FLOODING,1981,"68,994"
1196,8/19/11,2011,8,Flood,NM,Pueblo of Acoma,FLOODING,4047,"121,365"
1202,6/1/11,2011,6,Flood,MO,Carroll County,FLOODING,4012,"68,898"
1213,6/1/11,2011,6,Flood,KS,Atchison County,FLOODING,4035,"81,823"
1217,6/17/11,2011,6,Flood,NE,Boyd County,FLOODING,3323,"76,878"
1235,5/26/11,2011,5,Flood,NH,Coos County,SEVERE STORMS AND FLOODING,4006,"8,969"
1237,4/25/11,2011,4,Flood,LA,Ascension Parish,FLOODING,4015,"43,566"
1259,5/24/11,2011,5,Flood,NE,Garden County,FLOODING,4013,"76,878"
1276,4/25/11,2011,4,Flood,LA,Ascension Parish,FLOODING,3322,"43,566"
1302,5/25/11,2011,5,Flood,IA,Woodbury County,FLOODING,1998,"55,875"
1308,5/8/11,2011,5,Flood,AK,Crooked Creek ANV/ANVSA,ICE JAM AND FLOODING,1992,"570,641"
1311,4/5/11,2011,4,Flood,ND,Standing Rock Sioux Tribe of North & South Dakota,FLOODING,3318,"68,994"
1333,6/1/11,2011,6,Flood,KS,Atchison County,FLOODING,3324,"81,823"
1337,3/11/11,2011,3,Flood,SD,Aurora County,FLOODING,1984,"75,898"
1377,4/26/11,2011,4,Flood,TN,Dyer County,FLOODING,3321,"41,220"
1381,9/3/11,2011,9,Flood,PA,Adams County,REMNANTS OF Tropical Sorm,3340,"44,820"
1423,4/18/11,2011,4,Flood,UT,Uintah and Ouray Indian Reservation,FLOODING,4011,"82,168"
1442,4/27/11,2011,4,Flood,MS,Adams County,FLOODING,3320,"46,914"
1456,3/16/11,2011,3,Flood,MN,Red Lake Indian Reservation,SEVERE STORMS AND FLOODING,1982,"79,617"
1490,4/26/11,2011,4,Flood,NY,Allegany County,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",1993,
1513,12/20/10,2010,12,Flood,UT,Garfield County,SEVERE WINTER STORM AND FLOODING,1955,"82,168"
1516,9/3/11,2011,9,Flood,PA,Lackawanna County,Tropical Sorm,4030,"44,820"
1550,9/6/11,2011,9,Flood,MD,Anne Arundel County,REMNANTS OF Tropical Sorm,4038,"9,775"
1557,12/17/10,2010,12,Flood,CA,Inyo County,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",1952,"155,973"
1567,5/3/11,2011,5,Flood,MS,DeSoto County,FLOODING,1983,"46,914"
1581,3/31/11,2011,3,Flood,ID,Nez Perce Indian Reservation,"FLOODING, LANDSLIDES, AND MUDSLIDES",1987,"82,751"
1587,4/1/04,2004,4,Flood,MA,Essex County,FLOODING,1512,"7,838"
1592,5/15/08,2008,5,Flood,ID,Kootenai County,FLOODING,1781,"82,751"
1594,4/9/08,2008,4,Flood,OK,Adair County,"SEVERE STORMS, TORNADOES, AND FLOODING",1754,"68,679"
1618,4/28/08,2008,4,Flood,ME,Knox County,SEVERE STORMS AND FLOODING,1755,"30,865"
1625,10/20/16,2016,10,Flood,PA,Bradford County,SEVERE STORMS AND FLOODING,4292,"44,820"
1629,12/28/15,2015,12,Flood,LA,Concordia Parish,FLOODING,3376,"43,566"
1636,12/22/15,2015,12,Flood,MO,Audrain County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",3374,"68,898"
1710,5/22/16,2016,5,Flood,TX,Hardin County,SEVERE STORMS AND FLOODING,4272,"261,914"
1756,6/11/16,2016,6,Flood,OK,Caddo County,SEVERE STORMS AND FLOODING,4274,"68,679"
1764,9/21/16,2016,9,Flood,MN,Fillmore County,SEVERE STORMS AND FLOODING,4290,"79,617"
1774,12/23/15,2015,12,Flood,MO,Bollinger County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4250,"68,898"
1826,3/9/16,2016,3,Flood,MS,Claiborne County,SEVERE STORMS AND FLOODING,4268,"46,914"
1855,7/30/16,2016,7,Flood,MD,Howard County,SEVERE STORM AND FLOODING,4279,"9,775"
1856,4/17/16,2016,4,Flood,TX,Bastrop County,SEVERE STORMS AND FLOODING,4269,"261,914"
1883,6/22/16,2016,6,Flood,WV,Braxton County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4273,"24,087"
1901,3/8/16,2016,3,Flood,LA,Lafourche Parish,SEVERE STORMS AND FLOODING,4263,"43,566"
1938,9/21/16,2016,9,Flood,WI,Adams County,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4288,"54,314"
1948,8/11/16,2016,8,Flood,LA,Assumption Parish,SEVERE STORMS AND FLOODING,4277,"43,566"
1974,12/1/15,2015,12,Flood,WA,Clallam County,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T",4253,"66,582"
1984,3/7/16,2016,3,Flood,TX,Angelina County,"SEVERE STORMS, TORNADOES, AND FLOODING",4266,"261,914"
2005,8/23/16,2016,8,Flood,IA,Allamakee County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4281,"55,875"
2013,9/21/16,2016,9,Flood,IA,Allamakee County,SEVERE STORMS AND FLOODING,4289,"55,875"
2032,3/30/06,2006,3,Flood,MN,Polk County,FLOODING,1648,"79,617"
2041,5/13/06,2006,5,Flood,AK,Lower Kuskokwim Regional Educational Attendance Area,SNOW MELT AND ICE JAM FLOODING,1657,"570,641"
2044,12/26/21,2021,12,Flood,WA,Chehalis Indian Reservation,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",4650,"66,582"
2068,11/5/21,2021,11,Flood,WA,Hoh Indian Reservation,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4635,"66,582"
2080,7/25/22,2022,7,Flood,MO,Montgomery County,SEVERE STORMS AND FLOODING,4665,"68,898"
2084,10/1/22,2022,10,Flood,AZ,Havasupai Indian Reservation,FLOODING,4681,"113,642"
2085,5/8/22,2022,5,Flood,AK,Iditarod Area Regional Educational Attendance Area,FLOODING,4667,"570,641"
2088,7/26/22,2022,7,Flood,KY,Casey County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4663,"39,732"
2108,6/10/22,2022,6,Flood,MT,Flathead County,SEVERE STORM AND FLOODING,4655,"145,556"
2115,7/25/22,2022,7,Flood,IL,St. Clair County,SEVERE STORM AND FLOODING,4676,"55,593"
2116,4/22/22,2022,4,Flood,MN,Bois Forte Nett Lake Indian Reservation,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4659,"79,617"
2135,7/12/22,2022,7,Flood,WV,McDowell County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4678,"24,087"
2136,2/9/18,2018,2,Flood,KY,Bell County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4358,"39,732"
2158,5/27/18,2018,5,Flood,MD,Baltimore County,SEVERE STORM AND FLOODING,4376,"9,775"
2160,8/13/18,2018,8,Flood,NY,Broome County,SEVERE STORMS AND FLOODING,4397,
2167,2/21/18,2018,2,Flood,KY,Boyd County,"SEVERE STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",4361,"39,732"
2202,2/14/18,2018,2,Flood,OH,Adams County,"SEVERE STORMS, LANDSLIDES, AND MUDSLIDES",4360,"40,953"
2224,7/11/18,2018,7,Flood,AZ,Havasupai Indian Reservation,"SEVERE STORMS, FLOODING, AND LANDSLIDES",4389,"113,642"
2225,5/1/18,2018,5,Flood,MT,Carbon County,FLOODING,4405,"145,556"
2234,4/13/18,2018,4,Flood,HI,Honolulu County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4365,"6,423"
2236,4/12/18,2018,4,Flood,MT,Blaine County,FLOODING,4388,"145,556"
2243,5/5/18,2018,5,Flood,WA,Colville Indian Reservation,FLOODING,4384,"66,582"
2244,5/11/18,2018,5,Flood,AK,Matanuska-Susitna Borough,FLOODING,4391,"570,641"
2245,6/15/18,2018,6,Flood,WI,Ashland County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4383,"54,314"
2251,6/16/18,2018,6,Flood,MI,Gogebic County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4381,"56,539"
2254,8/17/18,2018,8,Flood,WI,Adams County,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES",4402,"54,314"
2268,6/15/18,2018,6,Flood,MN,Leech Lake Indian Reservation,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4390,"79,617"
2299,2/14/18,2018,2,Flood,IN,Benton County,SEVERE STORMS AND FLOODING,4363,"35,870"
2330,6/19/18,2018,6,Flood,TX,Cameron County,SEVERE STORMS AND FLOODING,4377,"261,914"
2333,4/16/13,2013,4,Flood,MI,Allegan County,FLOODING,4121,"56,539"
2349,9/11/13,2013,9,Flood,CO,Crowley County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4145,"103,730"
2367,9/11/13,2013,9,Flood,CO,Adams County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3365,"103,730"
2382,9/9/13,2013,9,Flood,NM,Isleta Pueblo Indian Reservation,"SEVERE STORMS, FLOODING, AND MUDSLIDES",4152,"121,365"
2408,6/26/13,2013,6,Flood,NY,Allegany County,SEVERE STORMS AND FLOODING,4129,
2424,4/22/13,2013,4,Flood,ND,Cass County,FLOODING,3364,"68,994"
2430,4/16/13,2013,4,Flood,IL,Adams County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,"55,593"
2477,5/17/13,2013,5,Flood,AK,Copper River Regional Educational Attendance Area,FLOODING,4122,"570,641"
2482,5/25/13,2013,5,Flood,ND,Standing Rock Sioux Tribe of North & South Dakota,SEVERE STORMS AND FLOODING,4123,"68,994"
2483,6/25/13,2013,6,Flood,VT,Caledonia County,SEVERE STORMS AND FLOODING,4140,"9,249"
2490,5/22/13,2013,5,Flood,VT,Chittenden County,SEVERE STORMS AND FLOODING,4120,"9,249"
2493,4/22/13,2013,4,Flood,ND,Spirit Lake Reservation,FLOODING,4118,"68,994"
2510,7/27/13,2013,7,Flood,NC,Ashe County,"SEVERE STORMS, FLOODING, LANDSLIDES, MUDSLIDES",4153,"48,718"
2516,7/3/13,2013,7,Flood,NC,Eastern Band of Cherokee Indians of North Carolina,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4146,"48,718"
2530,5/19/13,2013,5,Flood,MT,Fort Belknap Indian Reservation,FLOODING,4127,"145,556"
2545,6/13/13,2013,6,Flood,WV,Mason County,SEVERE STORMS AND FLOODING,4132,"24,087"
2547,4/17/13,2013,4,Flood,IA,Appanoose County,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4119,"55,875"
2567,4/28/05,2005,4,Flood,UT,Uintah and Ouray Indian Reservation,FLOODING AND LANDSLIDES,1598,"82,168"
2576,5/6/05,2005,5,Flood,ID,Nez Perce Indian Reservation,HEAVY RAINS AND FLOODING,1592,"82,751"
2578,4/28/09,2009,4,Flood,AK,Lower Kuskokwim Regional Educational Attendance Area,FLOODING AND ICE JAMS,1843,"570,641"
2586,12/10/08,2008,12,Flood,HI,Kauai County,SEVERE STORMS AND FLOODING,1814,"6,423"
2588,1/6/09,2009,1,Flood,WA,Chelan County,"SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING",1817,"66,582"
2611,7/29/21,2021,7,Flood,VT,Bennington County,SEVERE STORM AND FLOODING,4621,"9,249"
2613,2/27/21,2021,2,Flood,KY,Ballard County,"SEVERE, STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4595,"39,732"
2663,2/27/21,2021,2,Flood,WV,Boone County,SEVERE STORMS AND FLOODING,4605,"24,087"
2670,7/22/21,2021,7,Flood,AZ,Apache County,SEVERE STORMS AND FLOODING,4620,"113,642"
2673,7/29/21,2021,7,Flood,NH,Cheshire County,SEVERE STORM AND FLOODING,4624,"8,969"
2675,3/8/21,2021,3,Flood,HI,Maui County,"SEVERE STORMS, FLOODING, AND LANDSLIDES",4604,"6,423"
2676,8/30/21,2021,8,Flood,VA,Buchanan County,"FLOODING, LANDSLIDES, AND MUDSLIDES",4628,"39,598"
2677,8/21/21,2021,8,Flood,TN,Dickson County,SEVERE STORM AND FLOODING,4609,"41,220"
2681,5/17/21,2021,5,Flood,LA,Assumption Parish,"SEVERE STORMS, TORNADOES, AND FLOODING",4606,"43,566"
2688,3/6/10,2010,3,Flood,NE,Antelope County,"SEVERE STORMS, ICE JAMS, AND FLOODING",1902,"76,878"
2725,6/12/10,2010,6,Flood,WV,Lewis County,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",1918,"24,087"
2730,3/10/10,2010,3,Flood,SD,Aurora County,FLOODING,1915,"75,898"
2767,7/25/10,2010,7,Flood,NM,Pueblo of Acoma,SEVERE STORMS AND FLOODING,1936,"121,365"
2774,2/26/10,2010,2,Flood,ND,Spirit Lake Reservation,FLOODING,3309,"68,994"
2793,3/1/10,2010,3,Flood,MN,Prairie Island Community Indian Reservation,FLOODING,1900,"79,617"
2821,3/1/10,2010,3,Flood,MN,Upper Sioux Community Indian Reservation,FLOODING,3310,"79,617"
