date,year,month,category,state,county,title,fema_number,area(sq_miles),thousand_square_miles,first,last,change
2/15/2023,2023,2,Flood,KY,Whitley County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
7/9/2023,2023,7,Flood,NH,Carroll County,SEVERE STORMS AND FLOODING,4740,"8,969",8.969,39.97090909090909,43.3,3.329090909090908
6/8/2023,2023,6,Flood,CO,Prowers County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
5/12/2023,2023,5,Flood,AK,Yukon-Koyukuk Census Area,FLOODING,4730,"570,641",570.641,22.956363636363637,26.25090909090909,3.294545454545453
7/9/2023,2023,7,Flood,VT,Orleans County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/7/2023,2023,7,Flood,VT,Orleans County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/9/2023,2023,7,Flood,VT,Bennington County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/7/2023,2023,7,Flood,VT,Bennington County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
1/8/2023,2023,1,Flood,CA,San Joaquin County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,San Joaquin County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/8/2023,2023,3,Flood,NV,Douglas County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708,"109,806",109.806,47.449090909090906,49.09818181818182,1.6490909090909156
6/8/2023,2023,6,Flood,CO,Cheyenne County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731,"103,730",103.73,42.48363636363637,44.301818181818184,1.818181818181813
2/15/2023,2023,2,Flood,KY,Lawrence County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
4/10/2023,2023,4,Flood,ND,Grand Forks County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
1/8/2023,2023,1,Flood,CA,Ventura County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
7/9/2023,2023,7,Flood,VT,Windham County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
7/7/2023,2023,7,Flood,VT,Windham County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
1/8/2023,2023,1,Flood,CA,Riverside County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/11/2023,2023,4,Flood,MN,Roseau County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
6/1/2023,2023,6,Flood,MT,Garfield County,FLOODING,4745,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
1/8/2023,2023,1,Flood,CA,Tehama County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/9/2023,2023,4,Flood,SD,Clark County,FLOODING,4718,"75,898",75.898,42.345454545454544,43.309090909090905,0.9636363636363612
1/8/2023,2023,1,Flood,CA,Solano County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/11/2023,2023,4,Flood,MN,Chippewa County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
2/15/2023,2023,2,Flood,KY,Letcher County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
6/1/2023,2023,6,Flood,MT,Stillwater County,FLOODING,4745,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
2/15/2023,2023,2,Flood,KY,Leslie County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711,"39,732",39.732,52.57454545454546,55.369090909090914,2.7945454545454567
3/9/2023,2023,3,Flood,CA,Amador County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/8/2023,2023,3,Flood,NV,Lyon County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708,"109,806",109.806,47.449090909090906,49.09818181818182,1.6490909090909156
4/10/2023,2023,4,Flood,ND,Nelson County,FLOODING,4717,"68,994",68.994,37.78909090909091,38.44363636363636,0.654545454545449
3/9/2023,2023,3,Flood,CA,Calaveras County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/9/2023,2023,4,Flood,SD,Brown County,FLOODING,4718,"75,898",75.898,42.345454545454544,43.309090909090905,0.9636363636363612
5/12/2023,2023,5,Flood,AK,Bering Strait Regional Educational Attendance Area,FLOODING,4730,"570,641",570.641,22.956363636363637,26.25090909090909,3.294545454545453
5/12/2023,2023,5,Flood,AK,Iditarod Area Regional Educational Attendance Area,FLOODING,4730,"570,641",570.641,22.956363636363637,26.25090909090909,3.294545454545453
4/11/2023,2023,4,Flood,MN,Aitkin County,SEVERE STORMS AND FLOODING,4722,"79,617",79.617,37.972727272727276,39.40727272727273,1.4345454545454572
1/8/2023,2023,1,Flood,CA,Tulare County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,Tulare County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
7/9/2023,2023,7,Flood,VT,Rutland County,FLOODING,3595,"9,249",9.249,38.94,42.1490909090909,3.2090909090909037
